1,20MICRONS,EQ,92.8,101,92.75,97.35,97.9,91.9,1058107,104192965.7,2022-1-28,12320,INE144J01027
2,21STCENMGM,EQ,45.5,45.5,45.5,45.5,45.5,46.4,3175,144462.5,2022-1-28,66,INE253B01015
3,3IINFOLTD,EQ,81.45,81.45,78.25,78.8,78.8,79.2,648717,52000325.4,2022-1-28,6888,INE748C01038
4,3MINDIA,EQ,24203,24883.95,23932,24407.4,24700,24060.65,2971,72141947.4,2022-1-28,2196,INE470A01017
5,3PLAND,BE,19.15,19.6,18.05,18.9,18.9,18.75,14180,268940.75,2022-1-28,129,INE105C01023
6,426GS2023,GS,96.85,97.75,96.85,97.54,97.65,98.25,620,60428.54,2022-1-28,13,IN0020210046
7,577GS2030,GS,85,85,85,85,85,84.87,100,8500,2022-1-28,1,IN0020200153
8,5PAISA,EQ,379.9,386,361.55,366.2,363.15,368.4,35608,13477336.05,2022-1-28,1972,INE618L01018
9,618GS2024,GS,100,100,100,100,100,103.49,100,10000,2022-1-28,1,IN0020190396
10,63MOONS,BE,262,274.9,260,274.9,274.9,261.85,219955,58536480.25,2022-1-28,1406,INE111B01023
11,667GS2050,GS,94.5,94.5,94.05,94.5,94.5,94.5,5637,532534,2022-1-28,29,IN0020200252
12,676GS2061,GS,98.95,99.5,98.95,99.4,99.5,98,1125,111835,2022-1-28,7,IN0020200401
13,68GS2060,GS,102,102,102,102,102,102,72,7344,2022-1-28,2,IN0020200187
14,695GS2061,GS,97,97.9,97,97.85,97.9,97,7849,768077.1,2022-1-28,9,IN0020210202
15,699GS2051,GS,98.5,98.5,97.51,97.54,97.51,97.99,1006,98171.46,2022-1-28,6,IN0020210194
16,727GS2026,GS,102,102,102,102,102,102,100,10200,2022-1-28,2,IN0020190016
17,732GS2024,GS,102,102,102,102,102,102,250,25500,2022-1-28,2,IN0020180488
18,772GS2049,GS,110,110,110,110,110,106.8,400,44000,2022-1-28,3,IN0020190032
19,A2ZINFRA,EQ,12.45,12.85,12.45,12.85,12.85,12.25,367104,4706366,2022-1-28,559,INE619I01012
20,AAKASH,EQ,264,264,256.35,259.95,259.15,260.6,49201,12804250.4,2022-1-28,838,INE087Z01016
21,AAREYDRUGS,EQ,55.5,55.5,50,51.1,51.3,54.55,255241,13367991.15,2022-1-28,4475,INE198H01019
22,AARON,EQ,125.55,131.5,125.55,127.8,126.5,125.3,3612,466486.45,2022-1-28,140,INE721Z01010
23,AARTIDRUGS,EQ,503,508.5,494.1,497.6,494.2,501,132148,66172209.1,2022-1-28,6590,INE767A01016
24,AARTIIND,EQ,979.15,1028.5,975,991.75,996.85,972.8,887442,895814933.2,2022-1-28,32410,INE769A01020
25,AARTISURF,EQ,968,979,956.25,960.6,967.45,954.55,7744,7488347.35,2022-1-28,930,INE09EO01013
26,AARVEEDEN,EQ,30.85,31.55,29.05,29.4,29.2,30.5,28561,856272,2022-1-28,262,INE273D01019
27,AARVI,EQ,88.6,92.9,88.6,90.85,90.5,88.5,16098,1473352.4,2022-1-28,250,INE754X01016
28,AAVAS,EQ,2835,2905,2795,2878.2,2875,2831.8,123634,351458994.5,2022-1-28,14682,INE216P01012
29,ABAN,EQ,47.85,49,47.5,48,47.8,47.35,76020,3673724,2022-1-28,1303,INE421A01028
30,ABB,EQ,2241,2315.85,2190,2270.5,2259.5,2224.45,265768,599373411,2022-1-28,17873,INE117A01022
31,ABBOTINDIA,EQ,16444,16495.3,15960,16083.2,16056.05,16219.2,26606,430995825.5,2022-1-28,8118,INE358A01014
32,ABCAPITAL,EQ,118.95,121.8,117.75,118.2,118.5,116.95,4093078,489648803.3,2022-1-28,27622,INE674K01013
33,ABCOTS,SM,56.85,57.5,51.5,53.55,51.5,56,60000,3360800,2022-1-28,15,INE08PH01015
34,ABFRL,EQ,288.9,295.5,285.1,287.75,288,284.3,3619458,1052502808,2022-1-28,40251,INE647O01011
35,ABMINTLLTD,EQ,106.4,106.4,106.4,106.4,106.4,111.95,1760,187264,2022-1-28,52,INE251C01025
36,ABSLAMC,EQ,525,525,511,512.6,511.8,520.05,1188295,613933479.6,2022-1-28,24810,INE404A01024
37,ABSLBANETF,EQ,38.5,38.5,37.5,37.63,37.64,37.83,7266,275332.17,2022-1-28,173,INF209KB17D5
38,ABSLNN50ET,EQ,41.4,42.5,41.2,41.56,41.58,41.2,3879,162098.18,2022-1-28,116,INF209KB16D7
39,ACC,EQ,2179.9,2238.55,2173.85,2215.95,2214.75,2167.7,272371,604727562.1,2022-1-28,21912,INE012A01025
40,ACCELYA,EQ,1058.75,1085,1035.85,1041.7,1041.85,1039.65,25337,27042184.85,2022-1-28,4090,INE793A01012
41,ACCORD,SM,32.3,32.3,31.15,31.15,31.15,30.8,8000,256100,2022-1-28,4,INE113X01015
42,ACCURACY,EQ,203.8,209.5,193.35,198.35,198.4,202.15,20059,4067779.1,2022-1-28,652,INE648Z01015
43,ACE,EQ,220.85,224.35,220.2,222.1,222.5,216.55,212716,47305573.15,2022-1-28,4806,INE731H01025
44,ACRYSIL,EQ,750,789.9,750,769.85,773.9,747.65,56864,43959489.25,2022-1-28,4808,INE482D01024
45,ADANIENT,EQ,1702.5,1744.1,1683.95,1693.7,1694,1686,1624750,2786472881,2022-1-28,48448,INE423A01024
46,ADANIGREEN,EQ,1945,1957,1904.95,1938.4,1936,1910.25,352835,683983036,2022-1-28,25059,INE364U01010
47,ADANIPORTS,EQ,713,732.8,707.5,710.15,711.2,709.1,3543413,2556872454,2022-1-28,80248,INE742F01042
48,ADANIPOWER,EQ,106.7,109.3,105,105.75,105.5,105.65,5158004,555559452.5,2022-1-28,37789,INE814H01011
49,ADANITRANS,BE,2000,2075,1960,1986.8,1977.2,2009.3,231963,466921800.3,2022-1-28,7721,INE931S01010
50,ADFFOODS,EQ,867.15,876.25,860.05,865.75,865,867.15,16383,14259892.8,2022-1-28,1854,INE982B01019
51,ADL,BE,56.7,56.7,53.55,56.05,56.05,55.5,1843,103127.2,2022-1-28,35,INE0CHO01012
52,ADORWELD,EQ,715.05,727.8,698,706.15,698,713.85,9383,6675120.4,2022-1-28,666,INE045A01017
53,ADROITINFO,BE,12.15,12.75,11.55,11.85,11.8,12.15,16419,195269.2,2022-1-28,152,INE737B01033
54,ADSL,EQ,136.95,143.9,134.05,140.85,140.95,137.05,350383,49593030.95,2022-1-28,4107,INE102I01027
55,ADVANIHOTR,EQ,80,86,79.2,81.4,80.8,78.7,172383,14472193.5,2022-1-28,2292,INE199C01026
56,ADVENZYMES,EQ,315.1,320,310.75,311.3,312,314.15,101780,32108919.65,2022-1-28,4603,INE837H01020
57,AEGISCHEM,EQ,205.4,212.4,204.75,205.5,206,202.45,404494,84175270.15,2022-1-28,8722,INE208C01025
58,AFFLE,EQ,1226.9,1268.25,1200.85,1212.8,1218.9,1208.75,571629,704297308.2,2022-1-28,45112,INE00WC01027
59,AGARIND,EQ,524.75,538,505.6,510.35,510,515.1,49181,25784263.8,2022-1-28,3477,INE204E01012
60,AGRITECH,EQ,59.55,62.95,59.55,60.75,60,60.8,4747,292074.95,2022-1-28,232,INE449G01018
61,AGROPHOS,EQ,23.95,24.45,23.05,24.45,24.45,23.3,102314,2485882.2,2022-1-28,448,INE740V01019
62,AHLADA,EQ,132.15,132.5,129.2,129.8,130,128.45,11466,1504619.3,2022-1-28,190,INE00PV01013
63,AHLEAST,EQ,198,200,189.25,190.75,189.5,194.05,3515,688527.55,2022-1-28,133,INE926K01017
64,AHLUCONT,EQ,406.75,408.8,400,400.8,400,399.75,10879,4396198.55,2022-1-28,557,INE758C01029
65,AIAENG,EQ,1865.65,1893,1826,1877.95,1877.6,1868.95,55282,102943707.6,2022-1-28,12966,INE212H01026
66,AILIMITED,SM,25.3,25.3,25.3,25.3,25.3,24.1,9000,227700,2022-1-28,3,INE0CAJ01017
67,AIRAN,EQ,25.9,25.9,24.2,24.4,24.35,24.75,584715,14459643.7,2022-1-28,2256,INE645W01026
68,AIROLAM,EQ,81.25,82.45,78.2,80.6,80.4,78.1,46182,3726246.5,2022-1-28,301,INE801L01010
69,AIRTELPP,E1,371.9,399.9,363.4,367.9,368,365.2,494961,184549162.2,2022-1-28,8851,IN9397D01014
70,AISL,SM,69.65,69.7,69,69,69,66.5,6000,416820,2022-1-28,4,INE635Y01015
71,AJANTPHARM,EQ,2220.2,2257.6,2153.5,2177.85,2175,2208.6,47745,105175015.7,2022-1-28,10393,INE031B01049
72,AJMERA,EQ,400,415.3,381.1,415.05,415.3,395.55,60231,24872271,2022-1-28,1186,INE298G01027
73,AJOONI,EQ,69.85,72.6,69.2,71.35,69.6,69.65,47684,3399731.05,2022-1-28,617,INE820Y01013
74,AJRINFRA,BE,2.65,2.85,2.65,2.8,2.8,2.75,6592756,18499473.65,2022-1-28,4121,INE181G01025
75,AKASH,BE,172.95,177.5,165.5,175.35,175.4,170.85,65227,11309832.75,2022-1-28,219,INE737W01013
76,AKG,EQ,47.95,49.65,45.95,47.75,47.4,45.15,43993,2136872.8,2022-1-28,550,INE00Y801016
77,AKSHARCHEM,EQ,450.05,460,430,435,434.15,448.4,21732,9600837.75,2022-1-28,1922,INE542B01011
78,AKSHOPTFBR,EQ,12.5,13.05,12.5,12.95,12.95,12.45,1043678,13485729.15,2022-1-28,1641,INE523B01011
79,AKZOINDIA,EQ,1947.45,1968.75,1930,1934.25,1938,1937.75,7358,14289778.4,2022-1-28,1243,INE133A01011
80,ALANKIT,EQ,17.9,18,16.75,16.95,17.05,17.55,752321,13033103.3,2022-1-28,2578,INE914E01040
81,ALBERTDAVD,EQ,669.8,674.85,656,661.5,664,660,6635,4421615.65,2022-1-28,780,INE155C01010
82,ALEMBICLTD,EQ,100,102,98.35,99.05,98.95,99.85,145421,14615535.6,2022-1-28,3524,INE426A01027
83,ALICON,EQ,770,860,770,822.5,826,770.05,35975,29703245.7,2022-1-28,3387,INE062D01024
84,ALKALI,BE,120,123.85,114.5,115.35,115,119.5,26308,3079422.75,2022-1-28,421,INE773I01017
85,ALKEM,EQ,3382,3461.3,3382,3416.9,3420,3380.7,282796,964326983.4,2022-1-28,27838,INE540L01014
86,ALKYLAMINE,EQ,3349.95,3470.9,3327.65,3358.95,3362.2,3335.05,47807,162247977.5,2022-1-28,14034,INE150B01039
87,ALLCARGO,EQ,340,349.95,329.75,332.2,331.3,338.3,195032,66594663.15,2022-1-28,8790,INE418H01029
88,ALLSEC,EQ,630.55,659.9,604.15,612.4,610.95,629.8,29231,18452380.7,2022-1-28,3261,INE835G01018
89,ALMONDZ,EQ,108.45,108.5,104.85,107.85,108,106.3,8916,953248.7,2022-1-28,206,INE326B01027
90,ALOKINDS,EQ,30.6,32.45,30.6,31.05,31.2,30.2,40637623,1278441024,2022-1-28,42110,INE270A01029
91,ALPA,EQ,90,95.7,90,91.95,91.75,90.05,147732,13749101.85,2022-1-28,2052,INE385I01010
92,ALPHAGEO,EQ,376,398.65,374,386.5,386.05,373.8,23707,9212098.6,2022-1-28,2252,INE137C01018
93,AMARAJABAT,EQ,606.9,621.5,602.05,614.15,616.2,599,769328,473793650.2,2022-1-28,21067,INE885A01032
94,AMBER,EQ,3100,3255,3100,3190.2,3150.1,3095,45992,147311242.8,2022-1-28,9762,INE371P01015
95,AMBICAAGAR,EQ,42,44.4,39.15,40,40.6,40.4,1336863,56602426.05,2022-1-28,10701,INE792B01012
96,AMBIKCO,EQ,2025,2062,1964.95,1988.45,1988.9,2023.3,14575,29530321.05,2022-1-28,3135,INE540G01014
97,AMBUJACEM,EQ,354.4,367.1,353,360.7,360.1,351.65,3157848,1143480439,2022-1-28,43808,INE079A01024
98,AMDIND,EQ,44.95,47.15,44,47.05,47,44.95,138768,6445323.75,2022-1-28,856,INE005I01014
99,AMIORG,EQ,985,1020.9,980.1,983.15,982,978,123210,123762237.8,2022-1-28,8444,INE00FF01017
100,AMJLAND,EQ,34,34.2,32.45,33.05,32.5,33.5,26132,876882.35,2022-1-28,299,INE606A01024
101,AMJUMBO,SM,8.5,8.5,8.45,8.45,8.45,8.85,48000,406000,2022-1-28,6,INE749Y01014
102,AMRUTANJAN,EQ,884.45,896.95,875,877.2,879.7,884.45,12165,10799644.55,2022-1-28,2410,INE098F01031
103,ANANDRATHI,EQ,596.9,610.95,590,594.2,595,593.7,98971,59647465.35,2022-1-28,4865,INE463V01026
104,ANANTRAJ,EQ,84.4,84.9,81,81.3,81.75,83.6,1417995,117130062.1,2022-1-28,9421,INE242C01024
105,ANDHRACEMT,EQ,16.9,17.4,16.55,16.75,16.75,16.6,558986,9516990.3,2022-1-28,1858,INE666E01012
106,ANDHRAPAP,EQ,210,210.55,209,209.3,209,209.85,17478,3668978.35,2022-1-28,443,INE435A01028
107,ANDHRSUGAR,EQ,155.1,164.5,151.3,154.1,156.05,153.55,1965446,312654224.9,2022-1-28,22618,INE715B01021
108,ANDREWYU,EQ,25.5,26.4,25.1,25.6,25.4,25.5,204872,5313594.15,2022-1-28,1211,INE449C01025
109,ANGELONE,EQ,1414,1425,1394.3,1406.25,1409,1405,382318,539746486.7,2022-1-28,25104,INE732I01013
110,ANIKINDS,EQ,39,39.4,37,37.1,37.1,37.95,82521,3119700.7,2022-1-28,675,INE087B01017
111,ANKITMETAL,BE,11.45,11.45,11.45,11.45,11.45,12.05,214027,2450609.15,2022-1-28,657,INE106I01010
112,ANMOL,EQ,208.6,216,200,202.45,203.6,204.35,129920,27478713.35,2022-1-28,4851,INE02AR01019
113,ANSALAPI,EQ,15.75,16.3,15,15.1,15,15.75,348955,5484495.2,2022-1-28,868,INE436A01026
114,ANSALHSG,BE,9.05,9.85,9.05,9.55,9.7,9.4,140796,1335925.8,2022-1-28,313,INE880B01015
115,ANTGRAPHIC,BE,3.05,3.05,3,3.05,3.05,2.95,1468642,4476542.35,2022-1-28,1771,INE414B01021
116,ANUP,EQ,914.4,953,901,911,912,919,19610,18288475.5,2022-1-28,2829,INE294Z01018
117,ANURAS,EQ,1000,1000,972.35,977.1,976,985,68888,67844093,2022-1-28,4286,INE930P01018
118,APARINDS,EQ,818,827.05,798.5,804,800.5,817.15,49111,40019563.05,2022-1-28,4574,INE372A01015
119,APCL,EQ,301,315,301,310.3,310.55,303.35,16539,5132411.5,2022-1-28,701,INE071F01012
120,APCOTEXIND,EQ,388,393.6,380,381.15,380.05,392.6,71326,27449365.2,2022-1-28,3781,INE116A01032
