1,TIMESCAN,Timescan Logistics (India) Limited,SM,2022-01-12,10,INE0IJY01014,10
2,ABCOTS,A B Cotspin India Limited,SM,2022-01-11,10,INE08PH01015,10
3,VIVO,Vivo Collaboration Solutions Limited,SM,2021-12-31,10,INE0IA701014,10
4,FOCE,Foce India Limited,SM,2021-12-28,10,INE0I7D01019,10
5,EUROBOND,Euro Panel Products Limited,SM,2021-12-24,10,INE505V01016,10
6,NRL,Nupur Recyclers Limited,SM,2021-12-23,10,INE0JM501013,10
7,NIDAN,Nidan Laboratories and Healthcare Limited,SM,2021-11-12,10,INE0J6L01013,10
8,KOTYARK,Kotyark Industries Limited,SM,2021-11-02,10,INE0J0B01017,10
9,DKEGL,D.K. Enterprises Global Limited,SM,2021-10-22,10,INE0GN101014,10
10,DYNAMIC,Dynamic Services & Security Limited,SM,2021-10-13,10,INE0DZ701010,10
11,DESTINY,Destiny Logistics & Infra Limited,SM,2021-10-13,10,INE0IGO01011,10
12,BMETRICS,Bombay Metrics Supply Chain Limited,SM,2021-10-12,10,INE0I3Y01014,10
13,JAINAM,Jainam Ferro Alloys (I) Limited,SM,2021-10-08,10,INE02KC01010,10
14,QUADPRO,Quadpro Ites Limited,SM,2021-09-30,2,INE0GOJ01027,2
15,BEWLTD,BEW Engineering Limited,SM,2021-09-16,10,INE0HQI01014,10
16,DUDIGITAL,DU Digital Technologies Limited,SM,2021-08-26,10,INE0HPK01012,10
17,NPST,Network People Services Technologies Limited,SM,2021-08-10,10,INE0FFK01017,10
18,REXPIPES,Rex Pipes And Cables Industries Limited,SM,2021-08-10,10,INE00D001018,10
19,WALPAR,Walpar Nutritions Limited,SM,2021-07-13,10,INE0G2G01015,10
20,AILIMITED,Abhishek Integrations Limited,SM,2021-06-21,10,INE0CAJ01017,10
21,VMARCIND,V Marc India Limited,SM,2021-04-09,10,INE0GXK01018,10
22,SIDDHIKA,Siddhika Coatings Limited,SM,2021-04-07,10,INE0A1E01018,10
23,PAVNAIND,Pavna Industries Limited,SM,2021-03-09,10,INE07S101020,10
24,PARTYCRUS,Party Cruisers Limited,SM,2021-03-05,10,INE06ZX01015,10
25,BTML,Bodhi Tree Multimedia Limited,SM,2020-10-21,10,INE0EEJ01015,10
26,SIGMA,Sigma Solve Limited,SM,2020-10-19,10,INE0A0S01010,10
27,ATALREAL,Atal Realtech Limited,SM,2020-10-15,10,INE0ALR01011,10
28,AAATECH,Aaa Technologies Limited,SM,2020-10-13,10,INE0D0U01013,10
29,KSOLVES,Ksolves India Limited,SM,2020-07-06,10,INE0D6I01015,10
30,LGHL,Laxmi Goldorna House Limited,SM,2020-04-16,10,INE258Y01016,10
31,HPIL,Hindprakash Industries Limited,SM,2020-01-27,10,INE05X901010,10
32,VCL,Vaxtex Cotfab Limited,SM,2020-01-13,10,INE098201010,10
33,DCI,DC Infotech and Communication Limited,SM,2019-12-27,10,INE0A1101019,10
34,ASCOM,Ascom Leasing & Investments Limited,SM,2019-12-06,10,INE08KD01015,10
35,SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited,SM,2019-10-15,10,INE06MH01016,10
36,SHIVAUM,Shiv Aum Steels Limited,SM,2019-10-01,10,INE719F01016,10
37,SECL,Salasar Exteriors and Contour Limited,SM,2019-09-12,10,INE00Y701018,10
38,ABINFRA,A B Infrabuild Limited,SM,2019-07-12,10,INE00YB01017,10
39,KHFM,Khfm Hospitality And Facility Management Services Limited,SM,2019-04-12,10,INE00UG01014,10
40,OSIAHYPER,Osia Hyper Retail Limited,SM,2019-04-05,10,INE06IR01013,10
41,MINDPOOL,Mindpool Technologies Limited,SM,2019-02-28,10,INE00RQ01019,10
42,SURANI,Surani Steel Tubes Limited,SM,2019-02-06,10,INE01ZJ01015,10
43,DRSDILIP,DRS Dilip Roadlines Limited,SM,2018-12-10,10,INE02CV01017,10
44,SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,SM,2018-12-04,10,INE01Z401013,10
45,UWCSL,Ultra Wiring Connectivity System Limited,SM,2018-10-26,10,INE00F301010,10
46,BBTCL,B&B Triplewall Containers Limited,SM,2018-10-15,10,INE01EE01011,10
47,VINNY,Vinny Overseas Limited,SM,2018-10-11,10,INE01KI01019,10
48,KRITIKA,Kritika Wires Limited,SM,2018-10-10,10,INE00Z501011,10
49,PARIN,Parin Furniture Limited,SM,2018-10-09,10,INE00U801010,10
50,KSHITIJPOL,Kshitij Polyline Limited,SM,2018-10-08,10,INE013801019,10
51,SPECTRUM,Spectrum Electrical Industries Limited,SM,2018-10-01,10,INE01EO01010,10
52,UCL,Ushanti Colour Chem Limited,SM,2018-08-02,10,INE00NI01015,10
53,AVROIND,AVRO INDIA LIMITED,SM,2018-07-26,10,INE652Z01017,10
54,AMBANIORG,Ambani Organics Limited,SM,2018-07-18,10,INE00C501018,10
55,JAKHARIA,JAKHARIA FABRIC LIMITED,SM,2018-07-11,10,INE00N401018,10
56,BRIGHT,Bright Solar Limited,SM,2018-07-09,10,INE684Z01010,10
57,PRITI,Priti International Limited,SM,2018-06-21,10,INE974Z01015,10
58,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,SM,2018-06-20,10,INE00IK01011,10
59,SONAMCLOCK,Sonam Clock Limited,SM,2018-06-14,10,INE00LM01011,10
60,DIL,Debock Industries Limited,SM,2018-06-05,10,INE411Y01011,10
61,LATTEYS,Latteys Industries Limited,SM,2018-06-05,10,INE262Z01015,10
62,SVLL,Shree Vasu Logistics Limited,SM,2018-06-04,10,INE00CE01017,10
63,E2E,E2E Networks Limited,SM,2018-05-15,10,INE255Z01019,10
64,SOFTTECH,Softtech Engineers Limited,SM,2018-05-11,10,INE728Z01015,10
65,MAHICKRA,Mahickra Chemicals Limited,SM,2018-04-26,10,INE961Y01015,10
66,PENTAGOLD,Penta Gold Limited,SM,2018-04-25,10,INE175Y01012,10
67,PIGL,Power & Instrumentation (Gujarat) Limited,SM,2018-04-23,10,INE557Z01018,10
68,NARMADA,Narmada Agrobase Limited,SM,2018-04-19,10,INE117Z01011,10
69,VERA,Vera Synthetic Limited,SM,2018-04-12,10,INE709Z01015,10
70,SSINFRA,S.S. Infrastructure Development Consultants Limited,SM,2018-04-12,10,INE182Z01015,10
71,AVG,AVG Logistics Limited,SM,2018-04-11,10,INE680Z01018,10
72,CONTI,Continental Seeds and Chemicals Limited,SM,2018-04-04,10,INE340Z01019,10
73,GIRIRAJ,Giriraj Civil Developers Limited,SM,2018-04-02,10,INE614Z01017,10
74,URAVI,Uravi T and Wedge Lamps Limited,SM,2018-03-28,10,INE568Z01015,10
75,TARACHAND,Tara Chand Logistic Solutions Limited,SM,2018-03-23,10,INE555Z01012,10
76,MDL,Marvel Decor Limited,SM,2018-03-23,10,INE575Z01010,10
77,SARVESHWAR,Sarveshwar Foods Limited,SM,2018-03-15,10,INE324X01018,10
78,MHHL,Mohini Health & Hygiene Limited,SM,2018-02-16,10,INE450S01011,10
79,AMJUMBO,A and M Jumbo Bags Limited,SM,2018-02-12,10,INE749Y01014,10
80,VASA,Vasa Retail and Overseas Ltd,SZ,2018-02-06,10,INE068Z01016,10
81,SOLEX,Solex Energy Limited,SM,2018-02-05,10,INE880Y01017,10
82,SKSTEXTILE,SKS Textiles Limited,SM,2018-01-19,10,INE507Y01016,10
83,SMVD,SMVD Poly Pack Limited,SM,2017-12-26,10,INE702Y01013,10
84,INNOVANA,Innovana Thinklabs Limited,SM,2017-12-12,10,INE403Y01018,10
85,FELIX,Felix Industries Limited,SM,2017-12-05,10,INE901X01013,10
86,SILVERTUC,Silver Touch Technologies Limited,SM,2017-12-01,10,INE625X01018,10
87,PULZ,Pulz Electronics Limited,SM,2017-11-24,10,INE335X01014,10
88,AISL,ANI Integrated Services Limited,SM,2017-11-20,10,INE635Y01015,10
89,SECURCRED,SecUR Credentials Limited,SM,2017-11-13,10,INE195Y01010,10
90,MILTON,Milton Industries Limited,SM,2017-10-16,10,INE376Y01016,10
91,OMFURN,Omfurn India Limited,SM,2017-10-13,10,INE338Y01016,10
92,CMMIPL,CMM Infraprojects Limited,SM,2017-10-12,10,INE289S01013,10
93,BETA,Beta Drugs Limited,SM,2017-10-12,10,INE351Y01019,10
94,RELIABLE,Reliable Data Services Limited,SM,2017-10-11,10,INE375Y01018,10
95,GOLDSTAR,Goldstar Power Limited,SM,2017-10-10,10,INE405Y01013,10
96,INNOVATIVE,Innovative Tyres and Tubes Limited,SM,2017-10-05,10,INE070Y01015,10
97,TIRUPATI,Shree Tirupati Balajee FIBC Limited,SM,2017-10-05,10,INE238Y01018,10
98,RMDRIP,R M Drip and Sprinklers Systems Limited,SM,2017-10-04,10,INE219Y01018,10
99,CADSYS,Cadsys (India) Limited,SM,2017-10-04,10,INE090Y01013,10
100,MPTODAY,Madhya Pradesh Today Media Limited,SM,2017-09-29,10,INE105Y01019,10
101,MANAV,Manav Infra Projects Limited,SM,2017-09-18,10,INE104Y01012,10
102,PASHUPATI,Pashupati Cotspin Limited,SM,2017-09-08,10,INE124Y01010,10
103,LEXUS,Lexus Granito (India) Limited,SM,2017-08-23,10,INE500X01013,10
104,WEWIN,WE WIN LIMITED,SM,2017-08-09,10,INE082W01014,10
105,ACEINTEG,Ace Integrated Solutions Limited,SM,2017-07-13,10,INE543V01017,10
106,TRANSWIND,Transwind Infrastructures Limited,SM,2017-07-12,10,INE792X01016,10
107,ACCORD,Accord Synergy Limited,SM,2017-07-06,10,INE113X01015,10
108,SRIRAM,Shri Ram Switchgears Limited,SM,2017-06-07,10,INE634W01012,10
109,VSCL,Vadivarhe Speciality Chemicals Limited,SM,2017-06-02,10,INE551Q01028,10
110,JALAN,Jalan Transolutions (India) Limited,SM,2017-05-31,10,INE349X01015,10
111,MKPL,M K Proteins Limited,SM,2017-04-18,10,INE964W01013,10
112,ASLIND,ASL Industries Limited,SM,2017-04-18,10,INE617I01024,10
113,DEVIT,Dev Information Technology Limited,SM,2017-04-17,10,INE060X01018,10
114,PROLIFE,Prolife Industries Limited,SM,2017-01-09,10,INE994V01012,10
115,GICL,Globe International Carriers Limited,SM,2016-10-19,10,INE947T01014,10
116,DRL,Dhanuka Realty Limited,SM,2016-10-18,10,INE704V01015,10
117,AURDIS,Aurangabad Distillery Limited,SM,2016-10-17,10,INE448V01019,10
118,GRETEX,Gretex Industries Limited,SM,2016-10-14,10,INE985P01012,10
119,JETKNIT,Jet Knitwears Limited,SM,2016-10-07,10,INE564T01017,10
120,AVSL,AVSL Industries Limited,SM,2016-10-06,10,INE522V01011,10
121,CROWN,Crown Lifters Limited,SM,2016-09-27,10,INE491V01019,10
122,KKVAPOW,KKV Agro Powers Limited,SM,2016-07-15,10,INE239T01016,10
123,PERFECT,Perfect Infraengineers Limited,SM,2015-11-20,10,INE925S01012,10
124,AHIMSA,Ahimsa Industries Limited,SM,2015-10-15,10,INE136T01014,10
125,SHAIVAL,Shaival Reality Limited,SM,2015-10-01,10,INE262S01010,10
126,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,2015-08-13,10,INE332S01011,10
127,MITCON,MITCON Consultancy & Engineering Services Limited,SM,2013-11-01,10,INE828O01033,10
128,THEJO,Thejo Engineering Limited,SM,2012-09-18,10,INE121N01019,10
